id,model,name
137,H500,MD Helicopters MD 500
199,MU2,Mitsubishi MU-2
100,M20P,Mooney M-20
158,M20T,Mooney M-20 Turbo
200,P180,Piaggio P.180 Avanti
28,PC12,Pilatus PC-12
94,PC24,Pilatus PC-24
128,PA27,Piper Aztec
10,P28A,Piper Cherokee
127,P28R,Piper Cherokee Arrow
160,P28B,Piper Dakota / Pathfinder
174,PA18,Piper L-21 Super Cub
159,M600,Piper Malibu Meridian
161,P46T,Piper Malibu Meridian
102,PA46,Piper Malibu Mirage
108,PA31,Piper Navajo
149,PA24,Piper PA-24 Comanche
175,PA30,Piper PA-30 Twin Comanche
57,PA44,Piper PA-44 Seminole
80,PA32,Piper Saratoga
173,P32R,Piper Saratoga/Lance
88,PA34,Piper Seneca
123,R22,Robinson R-22
64,R44,Robinson R-44
139,R66,Robinson R-66
178,SH36,Short SD3-60
177,S92,Sikorsky Helibus
162,S76,Sikorsky S-76
116,TBM7,Socata TBM-700
103,SU95,Sukhoi Superjet 100
129,RV12,Van's RV-12
