id,registration,first_seen,last_seen,times_seen,reason
2279,A6-BLC,2025-06-07 19:48,2025-06-07 19:48,1,
2278,9H-WAL,2025-06-07 19:45,2025-06-07 19:45,1,
2277,EI-GXI,2025-06-07 19:28,2025-06-07 19:28,1,
2269,PH-BGQ,2025-06-07 19:20,2025-06-07 19:20,1,
2276,HB-JVX,2025-06-07 19:20,2025-06-07 19:20,1,
2275,B-308E,2025-06-07 19:09,2025-06-07 19:09,1,
2268,F-HZUD,2025-06-07 18:56,2025-06-07 18:56,1,
2274,9H-WDV,2025-06-07 18:48,2025-06-07 18:48,1,
2267,9H-WNM,2025-06-07 18:30,2025-06-07 18:30,1,
2273,9H-VJC,2025-06-07 18:29,2025-06-07 18:29,1,
2265,HA-LXA,2025-06-07 18:25,2025-06-07 18:25,1,
2266,9H-VJC,2025-06-07 18:25,2025-06-07 18:25,1,
2272,9H-WNM,2025-06-07 18:02,2025-06-07 18:02,1,
2264,EI-GSJ,2025-06-07 17:53,2025-06-07 17:53,1,
2271,HA-LXA,2025-06-07 17:51,2025-06-07 17:51,1,
2263,D-AIRY,2025-06-07 17:25,2025-06-07 17:25,1,
2270,N477MC,2025-06-07 17:24,2025-06-07 17:24,1,
2262,A7-BFS,2025-06-07 17:05,2025-06-07 17:05,1,
2260,F-GTAQ,2025-06-07 16:46,2025-06-07 16:46,1,
2261,XU-725,2025-06-07 16:44,2025-06-07 16:44,1,
2258,G-EUPS,2025-06-07 16:42,2025-06-07 16:42,1,
2259,TC-JOI,2025-06-07 15:56,2025-06-07 15:56,1,
2257,F-HUYO,2025-06-07 15:29,2025-06-07 15:29,1,
2256,A7-BFH,2025-06-07 15:02,2025-06-07 15:02,1,
2255,EI-GXK,2025-06-07 13:30,2025-06-07 13:30,1,
2254,TC-RBT,2025-06-07 13:00,2025-06-07 13:00,1,
2252,N832AA,2025-06-07 12:45,2025-06-07 12:45,1,
2253,SU-BUT,2025-06-07 12:45,2025-06-07 12:45,1,
2251,9H-VUR,2025-06-07 12:20,2025-06-07 12:20,1,
2250,SX-DGA,2025-06-07 11:30,2025-06-07 11:30,1,
2249,9H-WDZ,2025-06-07 09:35,2025-06-07 09:35,1,
2248,N801NW,2025-06-07 09:30,2025-06-07 09:30,1,
2247,N815AA,2025-06-07 08:40,2025-06-07 08:40,1,
2246,HA-LVD,2025-06-07 08:30,2025-06-07 08:30,1,
2245,N431GT,2025-06-07 07:37,2025-06-07 07:37,1,
2244,C-GFAF,2025-06-07 06:10,2025-06-07 06:10,1,
2243,D-AIEG,2025-06-06 23:40,2025-06-06 23:40,1,
2242,EI-EKD,2025-06-06 23:15,2025-06-06 23:15,1,
2241,9H-WAN,2025-06-06 20:45,2025-06-06 20:45,1,
2240,SP-RSZ,2025-06-06 20:20,2025-06-06 20:20,1,
2239,F-HXSN,2025-06-06 20:15,2025-06-06 20:15,1,
2238,A6-EPJ,2025-06-06 19:55,2025-06-06 19:55,1,
2237,PH-AXH,2025-06-06 19:40,2025-06-06 19:40,1,
2236,EI-DWE,2025-06-06 19:35,2025-06-06 19:35,1,
2235,HA-LXI,2025-06-06 19:25,2025-06-06 19:25,1,
2234,HB-JCA,2025-06-06 19:05,2025-06-06 19:05,1,
2233,G-DBCD,2025-06-06 16:15,2025-06-06 16:15,1,
2232,N220QS,2025-06-06 15:00,2025-06-06 15:00,1,
2231,N819AN,2025-06-06 13:25,2025-06-06 13:25,1,
2230,TC-RBR,2025-06-06 12:45,2025-06-06 12:45,1,
2228,D-AIEK,2025-06-06 12:30,2025-06-06 12:30,1,
2229,EI-HGO,2025-06-06 12:30,2025-06-06 12:30,1,
2227,SU-SKC,2025-06-06 12:20,2025-06-06 12:20,1,
2226,EI-SCB,2025-06-06 12:10,2025-06-06 12:10,1,
2225,9H-QAO,2025-06-06 12:05,2025-06-06 12:05,1,
2224,OO-SSF,2025-06-06 12:00,2025-06-06 12:00,1,
2222,SU-BUN,2025-06-06 11:35,2025-06-06 11:35,1,
2223,SX-DNH,2025-06-06 11:35,2025-06-06 11:35,1,
2221,G-TNEB,2025-06-06 11:05,2025-06-06 11:05,1,
2220,B-LQB,2025-06-06 08:00,2025-06-06 08:00,1,
2219,N728AN,2025-06-06 07:35,2025-06-06 07:35,1,
2218,C-GHLM,2025-06-06 06:00,2025-06-06 06:00,1,
2217,EI-HOA,2025-06-06 00:25,2025-06-06 00:25,1,
2216,D-AIQW,2025-06-05 23:15,2025-06-05 23:15,1,
2215,9H-QBQ,2025-06-05 20:10,2025-06-05 20:10,1,
2214,D-AISO,2025-06-05 19:55,2025-06-05 19:55,1,
2213,SE-RPJ,2025-06-05 19:40,2025-06-05 19:40,1,
2212,9H-QBQ,2025-06-05 19:35,2025-06-05 19:35,1,
2211,LN-NIL,2025-06-05 19:30,2025-06-05 19:30,1,
2210,HA-LYH,2025-06-05 19:25,2025-06-05 19:25,1,
2209,9H-VVC,2025-06-05 18:45,2025-06-05 18:45,1,
2208,SP-RKN,2025-06-05 18:40,2025-06-05 18:40,1,
2207,9H-WNN,2025-06-05 18:35,2025-06-05 18:35,1,
2206,D-AISU,2025-06-05 16:00,2025-06-05 16:00,1,
2205,XA-AMR,2025-06-05 15:55,2025-06-05 15:55,1,
2204,SP-LVP,2025-06-05 14:35,2025-06-05 14:35,1,
2203,B-146,2025-06-05 14:25,2025-06-05 14:25,1,
2201,CC-BGZ,2025-06-05 14:20,2025-06-05 14:20,1,
2200,A7-BAZ,2025-06-05 13:50,2025-06-05 13:50,1,
